time,mmsi,stat,rot,sog,pos_acc,x,y,cog,truehead,nm,tp,imo,cs,length,width,draught,eta,dest,iso3,dwt
2018/09/14 00:17:04,413641000,1,0,2,0,118.021049,38.975464,2908,199,CHANG RONG MEN,70,0,BHCE,149,22,0,0,573860@QIN HUANG DAO,CHN,33750
2018/09/14 00:19:45,413702180,1,128,0,0,117.983765,38.975616,2016,511,,0,0,,0,0,0,0,602752@JINZHOU,,3306
2018/09/14 00:19:53,414195000,0,0,138,0,117.948318,38.946987,965,99,RENJIAN8,79,9326756,BVKQ5,264,32,0,0,547200@GUI SHAN,,3306
2018/09/14 00:18:42,414294000,1,0,0,0,118.110374,38.948845,2601,157,ANJI 23,70,9776858,BICL7,169,28,0,0,592896@SHANGHAI,,3306
2018/09/14 00:18:24,414363000,1,0,4,0,118.052223,38.977997,2861,193,JIA XI,70,9465796,BQMO,225,32,0,0,611008@TIANJIN,,3306
2018/09/14 00:18:29,414401370,1,0,0,0,117.993500,38.983532,1106,167,ZHE XIANG 828,70,0,BTJB5,159,24,0,0,605312@CHEN JIA GANG,,3306
2018/09/14 00:17:16,414791000,1,0,2,0,118.085953,38.960884,2500,175,,0,0,,0,0,0,0,610432@TIANJIN,,0
2018/09/14 00:19:52,477190600,1,0,0,0,118.030312,38.956802,2688,168,SITC QINGDAO,70,9610547,VRLI4,144,23,0,0,594654@CN SHA,,3306
2018/09/14 00:19:57,477250600,0,0,53,0,118.075500,38.941639,3047,309,SITC BUSAN,70,9610559,VRLQ7,144,22,0,0,595328@JP NGO OE,,3306
2018/09/14 00:17:20,477637400,1,0,3,0,118.081505,38.947739,2800,195,,0,0,,0,0,0,0,616640@TIAN JIN,,3306
2018/09/14 00:12:14,222000176,0,0,3,0,118.011017,38.989174,2980,511,,0,0,,0,0,0,0,0@,,0
2018/09/14 00:08:33,412408090,1,0,3,0,118.079933,38.971722,3287,229,MING ZHOU 20,70,8316601,BLCW,224,32,0,0,607710@QINHUANGDAO,CHN,64944
2018/09/14 00:10:35,412513000,1,0,3,0,118.086739,38.991257,3527,253,XIN XIANG RUI,70,9032707,BINK,157,25,0,0,588766@CAOFEIDIAN,CHN,22154
2018/09/14 00:12:06,412704420,1,247,3,0,118.009789,38.957359,3410,237,NAN HUI 77,70,0,BVMN5,153,21,0,0,565824@TIAN JIN,,3306
2018/09/14 00:13:17,413018020,0,128,1,0,118.009254,38.957237,3321,511,,0,0,,0,0,0,0,471872@TJ ONG KOU,CHN,9
2018/09/14 00:11:00,413301000,1,0,3,0,118.096100,38.970150,3130,221,SHI DAI 1,70,9352949,BPDT,225,33,0,0,587968@CAOFEIDIAN,CHN,76611
2018/09/14 00:11:21,413351050,1,0,3,0,118.033020,38.970188,3043,228,,0,0,,0,0,0,0,610880@CHEN JIA GANG,,3306
2018/09/14 00:10:23,413359630,1,128,0,0,117.972260,38.981453,208,511,JIN CHANG XIN,70,0,BHUY2,99,16,0,0,580480@BEI HAI,CHN,6735
2018/09/14 00:11:38,413370940,1,0,1,0,118.018402,38.962971,2940,160,AN JI 5 HAO,70,0,BIOS,115,20,0,0,588382@TIAN JIN,CHN,3994
2018/09/14 00:11:48,413375000,1,0,3,0,118.069771,38.961800,3290,237,YUE DIAN 6,70,9086045,BRWO,225,32,0,0,0@,CHN,75300
2018/09/14 00:12:08,413376940,1,128,2,0,118.046165,38.954166,3500,243,XIN OU 11,70,0,BIAT2,147,21,0,0,598976@TIAN JIN,,3306
2018/09/14 00:10:29,413379000,1,0,1,0,117.967606,38.964104,3052,205,,0,0,,0,0,0,0,596416@TIAN JIN,CHN,850
2018/09/14 00:10:44,413380000,1,129,1,0,117.972855,38.971626,2692,198,,0,0,,0,0,0,0,610816@TIANJING BEIMAODI,CHN,850
2018/09/14 00:10:45,413438430,1,0,3,0,118.048615,38.968536,2741,186,,0,0,,0,0,0,0,593024@ZHANGJIAGANG,CHN,47290
2018/09/14 00:11:32,413452260,1,0,3,0,118.102066,38.961765,3020,211,TAI PING SHAN 26,70,0,BLFG3,190,31,0,0,604224@CAOFEIDIAN,,3306
2018/09/14 00:11:24,413452530,1,0,2,0,117.995255,38.972630,2674,176,CHANG AN 212,70,0,BLGA2,163,26,0,0,578112@T Z,,3306
2018/09/14 00:11:05,413641000,1,0,2,0,118.021523,38.975243,3060,221,CHANG RONG MEN,70,0,BHCE,149,22,0,0,573860@QIN HUANG DAO,CHN,33750
2018/09/14 00:10:45,413702180,1,128,0,0,117.983887,38.975651,2016,511,,0,0,,0,0,0,0,602752@JINZHOU,,3306
2018/09/14 00:12:42,414294000,1,0,1,0,118.110489,38.948891,2275,178,ANJI 23,70,9776858,BICL7,169,28,0,0,592896@SHANGHAI,,3306
2018/09/14 00:12:25,414363000,1,0,3,0,118.052971,38.977795,3050,212,JIA XI,70,9465796,BQMO,225,32,0,0,611008@TIANJIN,,3306
2018/09/14 00:12:30,414401370,1,0,1,0,117.993668,38.983616,1106,173,ZHE XIANG 828,70,0,BTJB5,159,24,0,0,605312@CHEN JIA GANG,,3306
2018/09/14 00:13:12,414791000,1,0,2,0,118.086281,38.960899,2630,185,,0,0,,0,0,0,0,610432@TIANJIN,,0
2018/09/14 00:10:51,477190600,1,0,2,0,118.030693,38.956802,2756,186,SITC QINGDAO,70,9610547,VRLI4,144,23,0,0,594654@CN SHA,,3306
2018/09/14 00:11:20,477637400,1,0,3,0,118.082085,38.947594,3053,213,,0,0,,0,0,0,0,616640@TIAN JIN,,3306
